view,model,subject,folds,parameters,accuracy,accuracy_percent
frontal_ear,dual_branch_cd,zn,5,247978,0.9294117647058824,92.94117647058823
frontal_ear,dual_branch_cd,zy,5,247978,0.9527310924369747,95.27310924369748
frontal_ear,dual_branch_cd_interaction,clt,5,247978,0.9804621848739495,98.04621848739495
frontal_ear,dual_branch_cd_interaction,fl,5,247978,0.9821428571428571,98.21428571428571
frontal_ear,dual_branch_cd_interaction,kjw,5,247978,0.870378151260504,87.0378151260504
frontal_ear,dual_branch_cd_interaction,ly,5,247978,0.7590336134453782,75.90336134453783
frontal_ear,dual_branch_cd_interaction,lyd,5,247978,0.7228991596638656,72.28991596638656
frontal_ear,dual_branch_cd_interaction,mym,5,247978,0.9981092436974791,99.81092436974791
frontal_ear,dual_branch_cd_interaction,qjj,5,247978,0.713235294117647,71.3235294117647
frontal_ear,dual_branch_cd_interaction,qyf,5,247978,0.9380252100840336,93.80252100840336
frontal_ear,dual_branch_cd_interaction,xh,5,247978,0.7237394957983193,72.37394957983193
frontal_ear,dual_branch_cd_interaction,ypy,5,247978,0.9760504201680671,97.6050420168067
frontal_ear,dual_branch_cd_interaction,yyj,5,247978,0.9997899159663867,99.97899159663866
frontal_ear,dual_branch_cd_interaction,zhf,5,247978,0.9997899159663867,99.97899159663866
frontal_ear,dual_branch_cd_interaction,zhl,5,247978,0.9981092436974791,99.81092436974791
frontal_ear,dual_branch_cd_interaction,zn,5,247978,0.9300420168067227,93.00420168067227
frontal_ear,dual_branch_cd_interaction,zy,5,247978,0.9502100840336135,95.02100840336135
frontal_ear,feei_full,clt,5,464737,0.9724789915966386,97.24789915966386
frontal_ear,feei_full,fl,5,464737,0.9861344537815127,98.61344537815127
frontal_ear,feei_full,kjw,5,464737,0.8745798319327729,87.45798319327729
frontal_ear,feei_full,ly,5,464737,0.7871848739495798,78.71848739495798
frontal_ear,feei_full,lyd,5,464737,0.7224789915966386,72.24789915966386
frontal_ear,feei_full,mym,5,464737,0.9989495798319329,99.8949579831933
frontal_ear,feei_full,qjj,5,464737,0.7161764705882353,71.61764705882354
frontal_ear,feei_full,qyf,5,464737,0.9434873949579832,94.34873949579831
frontal_ear,feei_full,xh,5,464737,0.742436974789916,74.2436974789916
frontal_ear,feei_full,ypy,5,464737,0.969747899159664,96.9747899159664
frontal_ear,feei_full,yyj,5,464737,0.9995798319327731,99.95798319327731
frontal_ear,feei_full,zhf,5,464737,1.0,100.0
frontal_ear,feei_full,zhl,5,464737,0.9987394957983193,99.87394957983193
frontal_ear,feei_full,zn,5,464737,0.9390756302521008,93.90756302521008
frontal_ear,feei_full,zy,5,464737,0.9623949579831933,96.23949579831933
